/usr/bin/python3 /Users/jon/MyCodes/MyProjects/PythonProjects/my-qffl-dp/mnist_qffl_dp_qn/mnist_QFNN_FL_QNoise_train.py
params: 0.01, 1
Node 0 | Epoch 0: 100%|██████████| 99/99 [01:50<00:00,  1.12s/it, acc=0.4811, loss=1.2659]
Node 0 | Epoch 1: 100%|██████████| 99/99 [01:47<00:00,  1.09s/it, acc=0.5276, loss=0.7805]
Node 0 | Epoch 2: 100%|██████████| 99/99 [01:47<00:00,  1.09s/it, acc=0.5322, loss=0.7333]
Node 0 | Epoch 3: 100%|██████████| 99/99 [01:49<00:00,  1.10s/it, acc=0.5324, loss=0.7183]
Node 0 | Epoch 4: 100%|██████████| 99/99 [01:47<00:00,  1.09s/it, acc=0.5324, loss=0.7113]
Node 0 | Epoch 5: 100%|██████████| 99/99 [01:47<00:00,  1.09s/it, acc=0.5323, loss=0.7072]
Node 0 | Epoch 6: 100%|██████████| 99/99 [01:46<00:00,  1.07s/it, acc=0.5324, loss=0.7045]
Node 0 | Epoch 7: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.5323, loss=0.7026]
Node 0 | Epoch 8: 100%|██████████| 99/99 [01:46<00:00,  1.08s/it, acc=0.5323, loss=0.7012]
Node 0 | Epoch 9: 100%|██████████| 99/99 [01:46<00:00,  1.08s/it, acc=0.5324, loss=0.6999]
Node 1 | Epoch 0: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.8915, loss=1.0376]
Node 1 | Epoch 1: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.9961, loss=0.1633]
Node 1 | Epoch 2: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9988, loss=0.0703]
Node 1 | Epoch 3: 100%|██████████| 93/93 [01:38<00:00,  1.05s/it, acc=0.9992, loss=0.0441]
Node 1 | Epoch 4: 100%|██████████| 93/93 [01:41<00:00,  1.10s/it, acc=0.9992, loss=0.0327]
Node 1 | Epoch 5: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.9995, loss=0.0249]
Node 1 | Epoch 6: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9994, loss=0.0210]
Node 1 | Epoch 7: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.9995, loss=0.0173]
Node 1 | Epoch 8: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9995, loss=0.0148]
Node 1 | Epoch 9: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.9997, loss=0.0131]
Node 2 | Epoch 0: 100%|██████████| 95/95 [01:46<00:00,  1.12s/it, acc=0.9094, loss=1.4717]
Node 2 | Epoch 1: 100%|██████████| 95/95 [01:44<00:00,  1.10s/it, acc=0.9928, loss=0.6378]
Node 2 | Epoch 2: 100%|██████████| 95/95 [01:43<00:00,  1.09s/it, acc=0.9995, loss=0.1625]
Node 2 | Epoch 3: 100%|██████████| 95/95 [01:45<00:00,  1.11s/it, acc=0.9995, loss=0.0625]
Node 2 | Epoch 4: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=0.9998, loss=0.0374]
Node 2 | Epoch 5: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=1.0000, loss=0.0263]
Node 2 | Epoch 6: 100%|██████████| 95/95 [01:43<00:00,  1.08s/it, acc=1.0000, loss=0.0204]
Node 2 | Epoch 7: 100%|██████████| 95/95 [01:41<00:00,  1.06s/it, acc=1.0000, loss=0.0167]
Node 2 | Epoch 8: 100%|██████████| 95/95 [01:40<00:00,  1.06s/it, acc=1.0000, loss=0.0141]
Node 2 | Epoch 9: 100%|██████████| 95/95 [01:44<00:00,  1.10s/it, acc=1.0000, loss=0.0123]
Node 3 | Epoch 0: 100%|██████████| 92/92 [01:39<00:00,  1.09s/it, acc=0.4651, loss=1.2973]
Node 3 | Epoch 1: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.4992, loss=0.8011]
Node 3 | Epoch 2: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.4979, loss=0.7424]
Node 3 | Epoch 3: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.4957, loss=0.7246]
Node 3 | Epoch 4: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.5063, loss=0.7163]
Node 3 | Epoch 5: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.5006, loss=0.7114]
Node 3 | Epoch 6: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.4963, loss=0.7083]
Node 3 | Epoch 7: 100%|██████████| 92/92 [01:38<00:00,  1.08s/it, acc=0.5044, loss=0.7059]
Node 3 | Epoch 8: 100%|██████████| 92/92 [01:40<00:00,  1.10s/it, acc=0.5023, loss=0.7043]
Node 3 | Epoch 9: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.5033, loss=0.7030]
Node 4 | Epoch 0: 100%|██████████| 89/89 [01:36<00:00,  1.08s/it, acc=0.4879, loss=1.2191]
Node 4 | Epoch 1: 100%|██████████| 89/89 [01:39<00:00,  1.11s/it, acc=0.5219, loss=0.7845]
Node 4 | Epoch 2: 100%|██████████| 89/89 [01:35<00:00,  1.08s/it, acc=0.5219, loss=0.7384]
Node 4 | Epoch 3: 100%|██████████| 89/89 [01:35<00:00,  1.08s/it, acc=0.5221, loss=0.7230]
Node 4 | Epoch 4: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.5199, loss=0.7150]
Node 4 | Epoch 5: 100%|██████████| 89/89 [01:36<00:00,  1.08s/it, acc=0.5217, loss=0.7105]
Node 4 | Epoch 6: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.5201, loss=0.7074]
Node 4 | Epoch 7: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.5212, loss=0.7052]
Node 5 | Epoch 0: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4954, loss=1.2850]
Node 5 | Epoch 1: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4876, loss=0.7884]
Node 5 | Epoch 2: 100%|██████████| 93/93 [01:40<00:00,  1.09s/it, acc=0.4969, loss=0.7404]
Node 5 | Epoch 3: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.5055, loss=0.7241]
Node 5 | Epoch 4: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.5006, loss=0.7163]
Node 5 | Epoch 5: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.5025, loss=0.7115]
Node 5 | Epoch 6: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4893, loss=0.7084]
Node 5 | Epoch 7: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.4967, loss=0.7061]
Node 6 | Epoch 0: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.4454, loss=1.2518]
Node 6 | Epoch 1: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.5073, loss=0.7739]
Node 6 | Epoch 2: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.5132, loss=0.7333]
Node 6 | Epoch 3: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.5100, loss=0.7200]
Node 6 | Epoch 4: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.5104, loss=0.7133]
Node 6 | Epoch 5: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.5086, loss=0.7093]
Node 6 | Epoch 6: 100%|██████████| 96/96 [01:42<00:00,  1.06s/it, acc=0.5121, loss=0.7066]
Node 6 | Epoch 7: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.5148, loss=0.7048]
Node 7 | Epoch 0: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.5149, loss=1.1579]
Node 7 | Epoch 1: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9476, loss=0.6284]
Node 7 | Epoch 2: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9968, loss=0.3449]
Node 7 | Epoch 3: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9975, loss=0.1519]
Node 7 | Epoch 4: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9978, loss=0.0779]
Node 7 | Epoch 5: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9984, loss=0.0521]
Node 7 | Epoch 6: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.9988, loss=0.0388]
Node 7 | Epoch 7: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9989, loss=0.0319]
Node 7 | Epoch 8: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9991, loss=0.0261]
Node 7 | Epoch 9: 100%|██████████| 92/92 [01:40<00:00,  1.10s/it, acc=0.9995, loss=0.0216]
Node 8 | Epoch 0: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.5178, loss=1.3433]
Node 8 | Epoch 1: 100%|██████████| 93/93 [01:38<00:00,  1.05s/it, acc=0.4990, loss=0.8017]
Node 8 | Epoch 2: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4974, loss=0.7429]
Node 8 | Epoch 3: 100%|██████████| 93/93 [01:38<00:00,  1.05s/it, acc=0.4964, loss=0.7254]
Node 8 | Epoch 4: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4992, loss=0.7169]
Node 8 | Epoch 5: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4980, loss=0.7119]
Node 8 | Epoch 6: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4981, loss=0.7085]
Node 8 | Epoch 7: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4985, loss=0.7066]
Node 8 | Epoch 8: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4936, loss=0.7047]

Configuration Summary - Noise: 0.01, Clip: 1
├─ Average Train Accuracy: 0.6941
├─ Average Test Accuracy:  0.0000
└─ Average Privacy Budget ε: 126946.7589

params: 0.01, 5
Node 0 | Epoch 0: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.7761, loss=1.1929]
Node 0 | Epoch 1: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.9893, loss=0.3163]
Node 0 | Epoch 2: 100%|██████████| 99/99 [01:46<00:00,  1.08s/it, acc=0.9983, loss=0.0971]
